time,symbol,equity,pass
2025-04-17T00:00:00-04:00,NIO,229695.58499999988,32
2025-04-17T00:00:00-04:00,NIO,237105.11999999988,33
2025-04-17T00:00:00-04:00,NIO,244514.65499999988,34
2025-04-17T00:00:00-04:00,NIO,251924.1899999999,35
2025-04-17T00:00:00-04:00,NIO,259333.7249999999,36
2025-04-17T00:00:00-04:00,NIO,266743.2599999999,37
2025-04-17T00:00:00-04:00,NIO,274152.79499999987,38
2025-04-17T00:00:00-04:00,NIO,281562.32999999984,39
2025-04-17T00:00:00-04:00,NIO,288971.8649999998,40
2025-04-17T00:00:00-04:00,NIO,296381.3999999998,41
2025-04-17T00:00:00-04:00,NIO,303790.93499999976,42
2025-04-17T00:00:00-04:00,NIO,311200.46999999974,43
2025-04-17T00:00:00-04:00,NIO,318610.0049999997,44
2025-04-17T00:00:00-04:00,NIO,326019.5399999997,45
2025-04-17T00:00:00-04:00,NIO,333429.07499999966,46
2025-04-17T00:00:00-04:00,NIO,340838.60999999964,47
2025-04-17T00:00:00-04:00,NIO,348248.1449999996,48
2025-04-17T00:00:00-04:00,NIO,355657.6799999996,49
2025-04-17T00:00:00-04:00,NIO,363067.21499999956,50
2025-04-17T00:00:00-04:00,PFE,0.0,1
2025-04-17T00:00:00-04:00,PFE,5816.420000000009,2
2025-04-17T00:00:00-04:00,PFE,11632.840000000018,3
2025-04-17T00:00:00-04:00,PFE,17449.260000000028,4
2025-04-17T00:00:00-04:00,PFE,23265.680000000037,5
2025-04-17T00:00:00-04:00,PFE,29082.10000000005,6
2025-04-17T00:00:00-04:00,PFE,34898.52000000006,7
2025-04-17T00:00:00-04:00,PFE,40714.940000000075,8
2025-04-17T00:00:00-04:00,PFE,46531.36000000009,9
2025-04-17T00:00:00-04:00,PFE,52347.7800000001,10
2025-04-17T00:00:00-04:00,PFE,58164.20000000011,11
2025-04-17T00:00:00-04:00,PFE,63980.620000000126,12
2025-04-17T00:00:00-04:00,PFE,69797.04000000012,13
2025-04-17T00:00:00-04:00,PFE,75613.46000000012,14
2025-04-17T00:00:00-04:00,PFE,81429.88000000012,15
2025-04-17T00:00:00-04:00,PFE,87246.30000000012,16
2025-04-17T00:00:00-04:00,PFE,93062.72000000012,17
2025-04-17T00:00:00-04:00,PFE,98879.14000000012,18
2025-04-17T00:00:00-04:00,PFE,104695.56000000011,19
2025-04-17T00:00:00-04:00,PFE,110511.98000000011,20
2025-04-17T00:00:00-04:00,PFE,116328.40000000011,21
2025-04-17T00:00:00-04:00,PFE,122144.82000000011,22
2025-04-17T00:00:00-04:00,PFE,127961.2400000001,23
2025-04-17T00:00:00-04:00,PFE,133777.66000000012,24
2025-04-17T00:00:00-04:00,PFE,139594.08000000013,25
2025-04-17T00:00:00-04:00,PFE,145410.50000000015,26
2025-04-17T00:00:00-04:00,PFE,151226.92000000016,27
2025-04-17T00:00:00-04:00,PFE,157043.34000000017,28
2025-04-17T00:00:00-04:00,PFE,162859.76000000018,29
2025-04-17T00:00:00-04:00,PFE,168676.1800000002,30
2025-04-17T00:00:00-04:00,PFE,174492.6000000002,31
2025-04-17T00:00:00-04:00,PFE,180309.02000000022,32
2025-04-17T00:00:00-04:00,PFE,186125.44000000024,33
2025-04-17T00:00:00-04:00,PFE,191941.86000000025,34
2025-04-17T00:00:00-04:00,PFE,197758.28000000026,35
2025-04-17T00:00:00-04:00,PFE,203574.70000000027,36
2025-04-17T00:00:00-04:00,PFE,209391.1200000003,37
2025-04-17T00:00:00-04:00,PFE,215207.5400000003,38
2025-04-17T00:00:00-04:00,PFE,221023.9600000003,39
2025-04-17T00:00:00-04:00,PFE,226840.38000000032,40
2025-04-17T00:00:00-04:00,PFE,232656.80000000034,41
2025-04-17T00:00:00-04:00,PFE,238473.22000000035,42
2025-04-17T00:00:00-04:00,PFE,244289.64000000036,43
2025-04-17T00:00:00-04:00,PFE,250106.06000000038,44
2025-04-17T00:00:00-04:00,PFE,255922.4800000004,45
2025-04-17T00:00:00-04:00,PFE,261738.9000000004,46
2025-04-17T00:00:00-04:00,PFE,267555.3200000004,47
2025-04-17T00:00:00-04:00,PFE,273371.7400000004,48
2025-04-17T00:00:00-04:00,PFE,279188.1600000004,49
2025-04-17T00:00:00-04:00,PFE,285004.58000000037,50
2025-04-17T00:00:00-04:00,PLUG,0.0,1
2025-04-17T00:00:00-04:00,PLUG,-3638.400600000007,2
2025-04-17T00:00:00-04:00,PLUG,-7276.801200000015,3
2025-04-17T00:00:00-04:00,PLUG,-10915.201800000023,4
2025-04-17T00:00:00-04:00,PLUG,-14553.602400000029,5
2025-04-17T00:00:00-04:00,PLUG,-18192.003000000037,6
2025-04-17T00:00:00-04:00,PLUG,-21830.403600000045,7
2025-04-17T00:00:00-04:00,PLUG,-25468.804200000053,8
2025-04-17T00:00:00-04:00,PLUG,-29107.20480000006,9
2025-04-17T00:00:00-04:00,PLUG,-32745.60540000007,10
2025-04-17T00:00:00-04:00,PLUG,-36384.00600000008,11
2025-04-17T00:00:00-04:00,PLUG,-40022.40660000009,12
2025-04-17T00:00:00-04:00,PLUG,-43660.8072000001,13
2025-04-17T00:00:00-04:00,PLUG,-47299.207800000106,14
2025-04-17T00:00:00-04:00,PLUG,-50937.608400000114,15
2025-04-17T00:00:00-04:00,PLUG,-54576.00900000012,16
2025-04-17T00:00:00-04:00,PLUG,-58214.40960000013,17
2025-04-17T00:00:00-04:00,PLUG,-61852.81020000014,18
2025-04-17T00:00:00-04:00,PLUG,-65491.210800000146,19
2025-04-17T00:00:00-04:00,PLUG,-69129.61140000015,20
2025-04-17T00:00:00-04:00,PLUG,-72768.01200000016,21
2025-04-17T00:00:00-04:00,PLUG,-76406.41260000017,22
2025-04-17T00:00:00-04:00,PLUG,-80044.81320000018,23
2025-04-17T00:00:00-04:00,PLUG,-83683.21380000019,24
2025-04-17T00:00:00-04:00,PLUG,-87321.6144000002,25
2025-04-17T00:00:00-04:00,PLUG,-90960.0150000002,26
2025-04-17T00:00:00-04:00,PLUG,-94598.41560000021,27
